A1,A3,A4,A6,A10,A12,A13,A15,A17,A18,A19,A21,A22,A23,A25,A27,B1,B2,B3,B6,B8,B12,B13,B14,A9-A5,A11-A9,A14-A11,A16-A14,A20-A16,A24-A20,A26-A24,A28-A26,B5-B4,B7-B5,B9-B7,B10-B9
200,270.0,470,21.0,100,102,0.2,103.0,105.0,0.2,300,30.0,9.0,5.0,70,78,190.0,3.5,3.5,65,45.0,400.0,0.15,256,90.0,60.0,60.0,60.0,30.0,30.0,30.0,0.0,0.0,120.0,0.0,0.0
300,405.0,700,29.0,101,103,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80,73,320.0,3.5,3.5,80,45.0,1200.0,0.15,400,120.0,60.0,60.0,60.0,0.0,0.0,60.0,0.0,0.0,120.0,0.0,0.0
300,405.0,700,30.0,100,102,0.2,103.0,102.0,0.2,300,50.0,9.0,5.0,70,75,360.0,3.5,3.5,65,45.0,800.0,0.15,400,185.0,60.0,60.0,60.0,55.0,0.0,30.0,510.0,30.0,30.0,300.0,60.0
300,405.0,700,21.0,100,102,0.2,103.0,104.0,0.2,300,50.0,9.0,5.0,70,78,340.0,3.5,3.5,65,50.0,800.0,0.15,440,90.0,60.0,60.0,60.0,30.0,30.0,30.0,420.0,0.0,210.0,0.0,30.0
300,405.0,700,29.0,102,103,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,79,73,320.0,3.5,3.5,80,45.0,1200.0,0.15,420,120.0,60.0,60.0,60.0,0.0,0.0,60.0,0.0,0.0,120.0,0.0,0.0
300,405.0,700,29.0,101,103,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80,73,320.0,3.5,3.5,80,45.0,1200.0,0.15,420,120.0,60.0,60.0,60.0,0.0,0.0,60.0,0.0,0.0,120.0,0.0,0.0
300,405.0,700,29.0,101,103,0.2,105.0,107.0,0.2,200,50.0,9.0,5.0,80,73,320.0,3.5,3.5,79,45.0,1200.0,0.15,400,120.0,60.0,60.0,60.0,0.0,0.0,60.0,0.0,0.0,120.0,0.0,0.0
300,405.0,700,34.0,101,103,0.2,104.0,103.0,0.2,300,60.0,10.0,5.0,70,75,350.0,3.5,3.5,60,45.0,800.0,0.15,400,90.0,60.0,60.0,60.0,30.0,0.0,30.0,330.0,0.0,30.0,0.0,60.0
300,405.0,700,27.0,102,104,0.2,105.0,105.0,0.2,200,50.0,9.0,5.0,80,73,320.0,3.5,3.5,80,45.0,1200.0,0.15,440,120.0,60.0,60.0,60.0,0.0,0.0,60.0,0.0,0.0,120.0,0.0,0.0
300,405.0,700,20.0,100,105,0.2,107.0,107.0,0.2,300,50.0,9.0,5.0,70,75,350.0,3.5,3.5,71,45.0,900.0,0.15,420,60.0,60.0,60.0,60.0,0.0,35.0,30.0,0.0,0.0,120.0,0.0,20.0
300,405.0,700,40.0,100,103,0.2,102.0,102.0,0.2,300,50.0,9.0,5.0,70,75,350.0,3.5,3.5,65,26.0,800.0,0.15,400,90.0,60.0,60.0,60.0,360.0,0.0,30.0,570.0,0.0,180.0,0.0,90.0
300,405.0,700,35.0,100,106,0.2,102.0,101.0,0.2,300,50.0,9.0,5.0,70,75,350.0,3.5,3.5,65,50.0,800.0,0.15,400,90.0,60.0,60.0,60.0,15.0,0.0,30.0,435.0,0.0,90.0,60.0,150.0
300,405.0,700,28.0,102,104,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80,73,320.0,3.5,3.5,80,45.0,1200.0,0.15,460,120.0,60.0,60.0,60.0,0.0,0.0,60.0,0.0,0.0,120.0,0.0,0.0
300,405.0,700,29.0,101,103,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,78,73,320.0,3.5,3.5,80,45.0,1200.0,0.15,400,120.0,60.0,60.0,60.0,0.0,0.0,60.0,0.0,0.0,120.0,0.0,0.0
300,405.0,700,30.0,101,103,0.2,105.0,107.0,0.2,200,50.0,9.0,5.0,79,73,320.0,3.5,3.5,79,45.0,1200.0,0.15,400,120.0,60.0,60.0,60.0,0.0,0.0,60.0,0.0,0.0,120.0,0.0,0.0
